gxyName,1237666338116993064_r,1237666338116993064_r,1237666338116993064_r,1237666338116993064_r,1237666338116993064_r,1237666338116993064_r,1237666338116993064_r,1237666338116993064_r,1237666338116993064_r
alenRank,1,2,3,4,5,6,7,8,9
math_initial_theta,1.346038,6.652234,8.412885,10.440585,10.900208,4.801023,10.967712,10.223928,7.696205
pitch_angle,-10.304113,-24.168227,-7.026046,-42.179245,-11.940791,-2.708772,-7.350874,28.087103,4.734028
math_initial_radius,31.798377,46.148078,70.482529,66.484803,86.311557,37.426742,123.462676,140.660998,99.209289
relative_theta_start,0,0,0,0,0,0,0,0,0
relative_theta_end,6.250885,2.401073,2.024419,0.780533,0.876829,2.144746,0.263794,0.100904,0.122413
r_start,31.798377,46.148078,70.482529,66.484803,86.311557,37.426742,123.462676,133.286903,98.20865
r_end,99.073013,135.549992,90.456263,134.855342,103.896217,41.423909,127.736536,140.660998,99.209289
used2rev,1,0,0,0,0,0,0,0,0
failed2rev,0,0,0,0,0,0,0,0,0
hasUndefinedEndpoints,0,0,0,0,0,0,0,0,0
arc_length,376.103139,218.363862,163.290123,101.82488,84.990793,84.579331,33.403817,15.662461,12.1245
num_pixels,5451,3706,2259,1083,675,1016,192,109,110
err_per_len,226.509238,394.774895,76.297467,109.617848,20.580455,122.853823,3.670455,4.458342,23.571641
err_per_pixel,15.628478,23.260812,5.515105,10.306394,2.591332,10.227258,0.638579,0.640629,2.598131
mean_intensity,0.376089,0.337734,0.278245,0.273903,0.234635,0.547914,0.216569,0.146819,0.307274
brt_ratio_score,1.132737,1.358982,1.163487,1.109096,1.067435,1.112248,1.299526,2.90235,1.200787
anovaF_score,643.291196,1146.341798,645.432269,112.650061,44.109012,426.154963,243.922459,179.65225,187.978041
clusOutputColor,[1 0 0.6667],[0.6667 1 0],[1 0.6667 0],[0 0.6667 1],[0.6667 0 1],[0 0 1],[0 1 0],[1 0 0],[0 1 0.6667]
