name, fit_state, warnings, star_mask_used, noise_mask_used, chirality_maj, chirality_alenWtd, chirality_wtdPangSum, chirality_longestArc, badBulgeFitFlag, bulgeAxisRatio, bulgeMajAxsLen, bulgeMajAxsAngle, bulgeAvgBrt, bulgeDiskBrtRatio, numElpsRefits, diskAxisRatio, diskMinAxsLen, diskMajAxsLen, diskMajAxsAngleRadians, inputCenterR, inputCenterC, iptSz, muDist, muDistProp, covarFit, wtdLik, likOfCtr, brtUnifScore, gaussLogLik, contourBrtRatio, standardizedCenterR, standardizedCenterC, hasDeletedCtrClus, failed2revDuringMergeCheck, failed2revDuringSecondaryMerging, failed2revInOutput, fitQuality, cpu_time, wall_time, bar_candidate_available, bar_used, alenAt25pct, alenAt50pct, alenAt75pct, rankAt25pct, rankAt50pct, rankAt75pct, avgArcLength, minArcLength, lowerQuartileArcLength, medianArcLength, upperQuartileArcLength, maxArcLength, totalArcLength, totalNumArcs, chirality_votes_maj, chirality_votes_alenWtd, alenWtdPangSum, top2_chirality_agreement, pa_longest, pa_avg, pa_avg_abs, pa_avg_domChiralityOnly, pa_alenWtd_avg, paErr_alenWtd_stdev, pa_alenWtd_avg_abs, paErr_alenWtd_stdev_abs, pa_alenWtd_avg_domChiralityOnly, paErr_alenWtd_stdev_domChiralityOnly, pa_totBrtWtd, pa_avgBrtWtd, pa_alenWtd_median, pa_alenWtd_lowQuartile, pa_alenWtd_highQuartile, pa_alenWtd_lowDecile, pa_alenWtd_highDecile, pa_alenWtd_median_domChiralityOnly, pa_alenWtd_lowQuartile_domChiralityOnly, pa_alenWtd_highQuartile_domChiralityOnly, pa_alenWtd_lowDecile_domChiralityOnly, pa_alenWtd_highDecile_domChiralityOnly, sorted_agreeing_pangs, sorted_agreeing_arclengths, numArcs_largest_length_gap, numDcoArcs_largest_length_gap, numArcs_arclength_function_flattening, numDcoArcs_arclength_function_flattening, bar_score_img, bar_cand_score_orifld, bar_angle_input_img, bar_half_length_input_img, bar_angle_standardized_img, bar_half_length_standardized_img, numArcsGE000, numArcsGE010, numArcsGE020, numArcsGE040, numArcsGE050, numArcsGE055, numArcsGE060, numArcsGE065, numArcsGE070, numArcsGE075, numArcsGE080, numArcsGE085, numArcsGE090, numArcsGE095, numArcsGE100, numArcsGE120, numArcsGE140, numArcsGE160, numArcsGE180, numArcsGE200, numArcsGE220, numArcsGE240, numArcsGE260, numArcsGE280, numArcsGE300, numArcsGE350, numArcsGE400, numArcsGE450, numArcsGE500, numArcsGE550, numArcsGE600, numDcoArcsGE000, numDcoArcsGE010, numDcoArcsGE020, numDcoArcsGE040, numDcoArcsGE050, numDcoArcsGE055, numDcoArcsGE060, numDcoArcsGE065, numDcoArcsGE070, numDcoArcsGE075, numDcoArcsGE080, numDcoArcsGE085, numDcoArcsGE090, numDcoArcsGE095, numDcoArcsGE100, numDcoArcsGE120, numDcoArcsGE140, numDcoArcsGE160, numDcoArcsGE180, numDcoArcsGE200, numDcoArcsGE220, numDcoArcsGE240, numDcoArcsGE260, numDcoArcsGE280, numDcoArcsGE300, numDcoArcsGE350, numDcoArcsGE400, numDcoArcsGE450, numDcoArcsGE500, numDcoArcsGE550, numDcoArcsGE600, 
1237648702966988820, OK, lgspFitting:highErrPerLenForLongArc:1440.90|,unavailable ,unavailable ,S-wise, Z-wise, S-wise, Z-wise, true, 0.7154931069, 34.7743978, 0.6505410472, 0.9620360003, 2.20773092, 8, 0.5661047919, 128.2011303, 226.4618356, 0.7608301203, 151.603629, 151.3511644, [303 303], 0.760327323, 0.005018662198, [326.905804 163.8827106;163.8827106 310.7877203], 0.8953797728, 0.0005811217175, 0.4470588235, -3680491.129, 1.011276473, 128.2218659, 128.9337636, false, false, false, false, 0.2866173296, 90.44, 77.094042, false, false, 210.9304888, 132.8489745, 65.22243817, 2, 4, 9, 87.50629491, 22.88591741, 39.059973, 65.22243817, 118.3191013, 259.1404468, 1487.607013, 17, [9 8], [659.3399916 828.2670219], 4944.921503, 'agree', -4.763706089, 4.843035957, 17.78180735, -13.7474446, 3.324077836, 19.1604247, 14.48621776, 12.97385306, -10.02386743, 11.20412202, -6.013775708, -11.02611855, -4.158224049, 10.34779536, -4.763706089, 32.21710365, -16.4431559, -4.763706089, -4.158224049, -10.79658003, -4.158224049, -21.53891302, [-4.763706089 -4.158224049 -16.4431559 -4.609217017 -44.21616476 -3.453595941 -21.53891302 -10.79658003], [259.1404468 210.9304888 93.78683612 72.50650105 65.22243817 48.60780275 39.08369191 38.98881627], 2, 2, 2, 3, 0.4099, 5.6239, 126.0924, 108.2383, 172.5000, 121.0000, 17, 17, 17, 12, 10, 10, 9, 9, 8, 6, 6, 6, 6, 5, 5, 4, 3, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 6, 5, 5, 5, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1237648702967054406, OK, lgspFitting:highErrPerLenForLongArc:1516.84|,unavailable ,unavailable ,Z-wise, S-wise, S-wise, S-wise, false, 0.7910126711, 19.25636941, 1.397974026, 0.946696962, 2.453442559, 9, 0.7085220711, 77.71081496, 109.6801612, 1.419289972, 95.20151917, 95.57713225, [189 189], 0.6113032059, 0.006468816993, [52.890196 7.655164535;7.655164535 101.8612582], 0.8849391566, 0.002172502731, 0.3882352941, -1762954.668, 1.031018272, 128.0401438, 128.2116083, false, false, false, false, 0.204766537, 121.49, 99.615124, false, false, 107.3983338, 89.80338288, 65.77546615, 2, 6, 12, 75.42978898, 23.52523436, 33.38640873, 61.2870754, 88.32572419, 417.2623945, 1810.314935, 24, [9 15], [909.0288738 901.2860616], 3.134140308, 'disagree', 0.5125050835, -1.1163286, 19.32828632, 24.28261029, 0.001731267995, 21.74971048, 15.43081311, 15.32774985, 15.36681968, 17.47628533, 8.924403683, 23.97760937, 0.5125050835, -13.68994509, 7.991626328, -20.00432901, 35.31254445, 7.991626328, 0.5125050835, 35.01738931, 0.5125050835, 36.36401341, [0.5125050835 35.31254445 50.76335888 10.79566459 15.19638948 26.5900011 7.991626328 36.36401341 35.01738931], [417.2623945 99.45024295 89.80338288 78.36688535 76.65268285 51.10430807 40.81768988 31.61969627 23.95159108], 1, 1, 1, 1, 1.0143, 5.3911, 126.8193, 32.5195, 135.5000, 94.0000, 24, 24, 24, 17, 15, 13, 12, 12, 10, 9, 7, 7, 5, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 9, 9, 9, 7, 6, 5, 5, 5, 5, 5, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
1237648702967251093, OK, lgspFitting:highErrPerLenForLongArc:5993.11|,unavailable ,unavailable ,Z-wise, Z-wise, Z-wise, EQ, false, 0.925053496, 13.15411561, 0.8971831191, 0.9320465686, 2.582554328, 9, 0.6986511062, 53.25731632, 76.22877263, -0.6680992212, 65.67275595, 64.79993809, [129 129], 0.7018727333, 0.0108817478, [37.92561528 -11.74899355;-11.74899355 32.30962977], 0.864278025, 0.004778843519, 0.5176470588, -834199.1516, 1.043673946, 126.8881272, 129.2452474, false, false, false, false, 0.2580340265, 133.31, 114.814588, false, false, 453.3196223, 82.91991431, 35.40993274, 1, 4, 11, 56.25974984, 12.67561168, 22.30810197, 28.51809725, 72.23482803, 453.3196223, 1462.753496, 26, [11 14], [335.4473644 673.986509], -10507.96971, 'disagree', 0, -4.152035774, 20.21575569, -22.62723493, -7.183691402, 22.14589176, 15.86376442, 17.04074301, -25.00995652, 17.53539394, -29.91822805, -23.96402277, 0, -16.08019304, 0, -45.46083057, 15.52699666, -17.63681805, -8.223180865, -45.46083057, -6.235521203, -50.16026084, [-8.223180865 -25.08379126 -50.16026084 -45.46083057 -16.08019304 -52.26056455 -6.235521203 -4.705122405 -41.7665819 -26.1103313 -12.8712278 -17.63681805 -0.8000146038 -9.386850613], [102.0315805 82.91991431 75.92874832 72.32658902 72.23482803 46.03365312 43.82368837 35.40993274 29.29457202 27.26341473 25.04459629 22.30810197 21.79106233 17.57582726], 1, 5, 1, 3, 1.0599, 6.7438, 257.7207, 35.7969, 26.0000, 123.0000, 26, 26, 22, 9, 7, 7, 7, 7, 7, 5, 4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 14, 14, 13, 7, 5, 5, 5, 5, 5, 3, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1237648702968103043, OK, lgspFitting:highErrPerLenForLongArc:1212.17|,unavailable ,unavailable ,S-wise, Z-wise, S-wise, Z-wise, false, 0.9311697397, 15.44749208, -1.279432023, 0.9393939394, 2.391109537, 9, 0.8145070548, 54.11764447, 66.44220471, -0.1929697042, 55.17531401, 55.9651212, [110 110], 0.5672378005, 0.01031341455, [35.11663187 -2.252486255;-2.252486255 24.0292729], 0.8955888657, 0.005418084834, 0.4278431373, -493179.6185, 1.023465967, 128.502674, 129.4619159, false, false, false, false, 0.2586805556, 128.65, 108.946072, false, false, 183.0128175, 125.9176107, 52.41669088, 3, 6, 12, 79.38896333, 21.10703582, 36.31009343, 49.61589693, 120.7017871, 254.3562086, 1984.724083, 25, [15 10], [901.9692232 1082.75486], 2051.307596, 'agree', -1.945719547, 6.14608555, 27.12303385, -26.22118538, 1.033547995, 27.44372795, 22.52841122, 15.70659458, -19.70038384, 16.16078831, -14.87760884, -22.25767523, -1.945719547, 27.68127475, -14.98872227, 40.11708472, -30.09938043, -14.98872227, -7.515971874, -28.57948072, -1.945719547, -46.19276616, [-1.945719547 -14.98872227 -28.57948072 -30.09938043 -7.515971874 -46.19276616 -64.50772283 -11.36040653 -36.72023745 -20.30144598], [254.3562086 201.7241824 183.0128175 125.9176107 118.9631792 59.15884264 49.61589693 38.97815232 29.57264895 21.4553207], 1, 5, 1, 1, 1.1020, 6.5321, 15.4437, 21.8320, 116.5000, 93.0000, 25, 25, 25, 16, 12, 10, 9, 9, 9, 9, 9, 8, 8, 8, 7, 6, 5, 3, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 7, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 3, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1237648702968103061, OK, lgspFitting:highErrPerLenForLongArc:1376.60|,unavailable ,unavailable ,Z-wise, Z-wise, S-wise, Z-wise, false, 0.7507860522, 19.31059529, 1.461496309, 0.9446899122, 2.499176471, 9, 0.6828986661, 75.0944258, 109.9642297, 1.450605772, 93.87717392, 92.89516567, [185 185], 0.8834162804, 0.009550446275, [48.97780265 6.563509814;6.563509814 102.5310971], 0.8818362406, 0.002247105089, 0.4588235294, -1693918.174, 1.04196007, 129.3725854, 128.0512311, false, false, false, false, 0.2033818694, 125.89, 106.17994, false, false, 211.1735551, 80.55110188, 54.37972382, 2, 6, 13, 71.95289847, 16.96642464, 35.46124091, 53.74107931, 67.33975151, 392.1065903, 1942.728259, 27, [13 14], [898.392964 1044.335295], 3933.784989, 'disagree', -1.261571959, 0.6898353508, 20.23270024, -18.84490542, 2.024876599, 22.51215583, 15.93553196, 16.02985048, -12.93867181, 13.35653554, -9.073073708, -19.26395516, -1.261571959, 11.98948637, -16.3077161, 34.40066099, -33.48429584, -6.004972907, -1.261571959, -18.85568762, -1.261571959, -34.58755375, [-1.261571959 -16.3077161 -16.67979347 -33.48429584 -34.58755375 -2.071947448 -40.68066913 -6.004972907 -19.33932983 -18.85568762 -1.614208992 -36.06291142 -4.923445951 -31.95457152], [392.1065903 114.4748617 80.55110188 60.15679722 59.55084743 54.37972382 42.73843677 41.33537823 39.42125045 37.72062468 36.40449371 33.04470435 28.35312042 24.09736369], 1, 1, 3, 3, 1.6263, 6.3704, 65.6136, 41.6250, 72.5000, 99.0000, 27, 27, 26, 16, 14, 12, 11, 7, 6, 6, 6, 5, 5, 5, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 14, 14, 14, 8, 6, 5, 4, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
1237648702968955007, OK, lgspFitting:highErrPerLenForLongArc:1080.67|,unavailable ,unavailable ,Z-wise, Z-wise, S-wise, Z-wise, false, 0.8641237926, 15.95998598, 0.6836624684, 0.9399887955, 2.732871653, 8, 0.7789933705, 68.48544004, 87.91530536, -0.09811249019, 71.27560138, 70.16254964, [141 141], 0.8816344049, 0.01250545255, [64.30452016 -2.473980709;-2.473980709 39.41323489], 0.888475117, 0.003144211836, 0.3960784314, -790116.6328, 1.034339315, 127.8954241, 129.5341444, false, false, false, false, 0.1538461538, 116.21, 94.643627, false, false, 131.311062, 90.05579139, 45.74525857, 2, 5, 11, 68.6321752, 19.00240455, 28.46719412, 41.21315431, 83.87277462, 402.8329095, 1647.172205, 24, [10 14], [644.244171 1002.928034], 4153.999362, 'disagree', -0.01382022154, -2.647069068, 22.27617493, -21.36278057, 2.521897437, 21.2464966, 15.56237032, 14.68285444, -10.7085971, 13.88358989, -3.479999157, -18.79384137, -0.01382022154, 17.68584265, -13.62352338, 33.71737235, -18.76037063, -4.545004858, -0.01382022154, -15.58150286, -0.01382022154, -30.23968058, [-0.01382022154 -15.58150286 -0.8305714883 -18.76037063 -13.62352338 -4.545004858 -40.33809137 -14.0177025 -48.51332508 -24.27957053 -15.15296154 -30.23968058 -52.35389603 -20.82890696], [402.8329095 90.05579139 88.9136659 78.83188334 65.62283805 63.94024301 37.95570158 32.05174703 30.19584843 26.7385398 24.98183293 20.96587982 20.83874852 19.00240455], 1, 1, 2, 1, 0.8250, 5.9751, 266.3786, 44.5000, 2.0000, 130.0000, 24, 24, 23, 12, 10, 10, 10, 9, 8, 8, 6, 6, 5, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 14, 14, 13, 6, 6, 6, 6, 5, 4, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
1237648702971511000, OK, lgspFitting:highErrPerLenForLongArc:1055.45|,unavailable ,unavailable ,EQ, S-wise, Z-wise, S-wise, false, 0.8314053288, 14.03690429, -1.22848352, 0.9392156863, 2.76143715, 8, 0.5704716219, 47.49349177, 83.25303125, -1.263700486, 57.16007396, 57.32288557, [113 113], 0.3603869658, 0.006378530369, [21.75132 -10.92256395;-10.92256395 52.72956161], 0.8802863923, 0.004952903159, 0.6156862745, -560125.5462, 1.035050853, 129.0589872, 129.7903083, false, false, false, false, 0.1943152455, 106.55, 89.73262, false, false, 247.6130727, 127.3220647, 47.39150969, 2, 4, 9, 75.77934467, 12.27805765, 32.12145447, 40.60001704, 61.73393136, 357.8662596, 1667.145583, 22, [11 11], [1145.889596 521.2559868], -1243.782346, 'agree', 9.378376501, -4.438173224, 18.80580064, 14.36762741, -0.7460550293, 20.59045582, 15.76829674, 13.26213735, 10.92786949, 8.767681767, 9.333689523, 13.1392335, 7.54173873, -9.408981724, 9.378376501, -31.53021164, 12.27171347, 9.378376501, 7.54173873, 12.27171347, 1.041039024, 21.70530095, [9.378376501 7.54173873 12.27171347 1.041039024 46.04024957 21.70530095 9.767544804 24.44891499 3.72158008 13.16305387 8.964389546], [357.8662596 247.6130727 187.4345361 121.3387971 48.40571038 40.20648963 36.2177363 32.42010316 32.12145447 29.98737878 12.27805765], 1, 1, 3, 1, 0.6949, 7.2657, 207.0953, 39.5117, 9.5000, 144.0000, 22, 22, 20, 12, 7, 7, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 11, 11, 10, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
1237648702972297393, OK, lgspFitting:highErrPerLenForLongArc:1124.27|,unavailable ,unavailable ,S-wise, Z-wise, Z-wise, Z-wise, true, 0.7201138316, 30.32403673, 0.09525268527, 0.9598937285, 2.55213277, 8, 0.6500590991, 92.14249274, 141.7447935, -0.1320718192, 102.3071605, 100.3112796, [202 202], 1.436859183, 0.01422632854, [175.881701 -13.39163847;-13.39163847 76.85431597], 0.9187405283, 0.001365247358, 0.3529411765, -1583664.106, 1.011031206, 128.6871857, 128.4148538, false, false, false, false, 0.09310344828, 82.43, 71.680753, false, false, 179.9206931, 54.43521569, 31.50556235, 2, 6, 12, 49.20234918, 13.16192797, 23.61427983, 30.85902217, 51.33065159, 228.7007047, 1230.058729, 25, [14 11], [457.9919632 772.0667662], -2365.822447, 'agree', -15.5466505, 3.569271143, 21.90957379, -20.84125301, -1.923341049, 22.12936461, 18.17754721, 12.76654989, -16.01239307, 12.0953436, -12.21060314, -19.12332358, -0.375237356, 14.20208896, -15.5466505, 23.83293971, -26.42843671, -15.5466505, -1.409695134, -23.64823236, -0.375237356, -34.10677178, [-15.5466505 -0.375237356 -26.42843671 -14.56851412 -34.10677178 -21.92651935 -23.64823236 -39.56150507 -42.90905338 -1.409695134 -8.77316729], [228.7007047 179.9206931 88.881899 60.0228643 49.94450104 31.50556235 30.85902217 26.14727144 25.74686905 25.62537368 24.71200546], 2, 2, 4, 3, 0.7812, 5.6037, 58.9328, 56.4180, 156.5000, 126.0000, 25, 25, 23, 10, 7, 5, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11, 5, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1237648702972821696, OK, lgspFitting:highErrPerLenForLongArc:831.59|,unavailable ,unavailable ,EQ, Z-wise, Z-wise, Z-wise, true, 0.533894417, 19.96400699, 1.388751124, 0.961822376, 2.617666689, 8, 0.5364646376, 49.96422381, 93.13609939, 1.337277875, 57.74738626, 58.95425901, [116 116], 0.8790783137, 0.01515652265, [23.18372159 11.40459455;11.40459455 68.41816563], 0.9050575767, 0.004116993671, 0.4470588235, -548387.9925, 1.018259648, 127.7362755, 127.8763616, false, false, false, false, 0.2006326254, 105.33, 88.353165, false, false, 288.5608651, 111.5392484, 46.63060909, 2, 4, 10, 69.1006596, 15.16000065, 22.98355662, 40.4942875, 68.66834307, 321.0633471, 1658.41583, 24, [12 12], [477.4848445 1180.930986], -6289.028509, 'agree', -9.614561719, 5.077139397, 23.4673843, -18.3902449, -3.792190351, 23.38873892, 19.54960452, 13.38756061, -16.3897817, 9.12133896, -13.07965614, -13.46403305, -9.614561719, 7.110155498, -21.80870818, 34.94104025, -21.83399837, -20.03531772, -9.614561719, -21.80870818, -5.502087836, -21.83399837, [-9.614561719 -21.80870818 -5.502087836 -20.03531772 -21.83399837 -21.58407661 -40.20864651 -2.640584956 -47.54316657 -12.87410377 -0.43629557 -16.60139099], [321.0633471 288.5608651 149.9643434 111.5392484 108.5558776 67.77191363 38.26921923 22.00519431 20.58517651 19.19713097 18.25866902 15.16000065], 2, 2, 3, 3, 0.4645, 6.1936, 165.1204, 29.3164, 178.5000, 81.0000, 24, 24, 21, 13, 9, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 12, 12, 9, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 
1237648702972952683, OK, lgspFitting:highErrPerLenForLongArc:2962.39|,unavailable ,unavailable ,S-wise, S-wise, S-wise, S-wise, false, 0.785826239, 19.79608295, 1.046679706, 0.9432525952, 2.27126401, 9, 0.6690581844, 87.33109843, 130.5284061, 1.291419501, 114.5352559, 113.565313, [227 227], 0.6895300635, 0.006075154745, [73.01157737 21.83177191;21.83177191 142.849263], 0.8538053541, 0.0015922784, 0.5803921569, -2731379.784, 1.026396624, 127.7225062, 128.4757361, false, false, false, false, 0.2693461308, 151.83, 124.43999, false, false, 224.5259689, 145.3872222, 80.39162858, 2, 5, 10, 91.81912387, 17.15332901, 35.14662801, 51.98393901, 137.4103658, 304.5170244, 2020.020725, 22, [12 10], [1225.58716 794.4335654], 3814.992418, 'agree', 3.544011956, 2.370336284, 25.34570132, 25.4063678, 1.888590731, 22.28350037, 19.13096114, 11.58134231, 17.32228103, 12.8647921, 10.92434752, 19.86914881, 3.544011956, -22.17432317, 14.40520955, -24.93894081, 31.04876891, 14.2071846, 7.551511513, 24.14960581, 3.544011956, 39.84689241, [3.544011956 14.2071846 24.14960581 7.551511513 31.04876891 11.64861935 39.84689241 19.29259899 42.63319485 46.0190667 14.40520955 50.52974895], [304.5170244 224.5259689 201.8322132 137.4103658 107.1175504 50.98193404 50.45058568 38.53927432 35.14662801 33.62718735 21.15709209 20.28133553], 1, 1, 1, 1, 0.7835, 6.5517, 358.4929, 43.1211, 14.5000, 83.0000, 22, 22, 21, 15, 14, 10, 10, 10, 10, 10, 10, 9, 9, 9, 8, 7, 5, 3, 3, 3, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 12, 12, 12, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 3, 3, 3, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
