name	fit_state	warnings	star_mask_used	noise_mask_used	chirality_maj	chirality_alenWtd	chirality_wtdPangSum	chirality_longestArc	badBulgeFitFlag	bulgeAxisRatio	bulgeMajAxsLen	bulgeMajAxsAngle	bulgeAvgBrt	bulgeDiskBrtRatio	numElpsRefits	diskAxisRatio	diskMinAxsLen	diskMajAxsLen	diskMajAxsAngleRadians	inputCenterR	inputCenterC	iptSz	muDist	muDistProp	covarFit	wtdLik	likOfCtr	brtUnifScore	gaussLogLik	contourBrtRatio	standardizedCenterR	standardizedCenterC	hasDeletedCtrClus	failed2revDuringMergeCheck	failed2revDuringSecondaryMerging	failed2revInOutput	fitQuality	cpu_time	wall_time	bar_candidate_available	bar_used	alenAt25pct	alenAt50pct	alenAt75pct	rankAt25pct	rankAt50pct	rankAt75pct	avgArcLength	minArcLength	lowerQuartileArcLength	medianArcLength	upperQuartileArcLength	maxArcLength	totalArcLength	totalNumArcs	chirality_votes_maj	chirality_votes_alenWtd	alenWtdPangSum	top2_chirality_agreement	pa_longest	pa_avg	pa_avg__abs	pa_avg_domChiralityOnly	pa_alenWtd_avg	paErr_alenWtd_stdev	pa_alenWtd_avg__abs	paErr_alenWtd_stdev__abs	pa_alenWtd_avg_domChiralityOnly	paErr_alenWtd_stdev_domChiralityOnly	pa_totBrtWtd	pa_avgBrtWtd	pa_alenWtd_median	pa_alenWtd_lowQuartile	pa_alenWtd_highQuartile	pa_alenWtd_lowDecile	pa_alenWtd_highDecile	pa_alenWtd_median_domChiralityOnly	pa_alenWtd_lowQuartile_domChiralityOnly	pa_alenWtd_highQuartile_domChiralityOnly	pa_alenWtd_lowDecile_domChiralityOnly	pa_alenWtd_highDecile_domChiralityOnly	sorted_agreeing_pangs	sorted_agreeing_arclengths	numArcs_largest_length_gap	numDcoArcs_largest_length_gap	numArcs_arclength_function_flattening	numDcoArcs_arclength_function_flattening	bar_score_img	bar_cand_score_orifld	bar_angle_input_img	bar_half_length_input_img	bar_angle_standardized_img	bar_half_length_standardized_img	numArcsGE000	numArcsGE010	numArcsGE020	numArcsGE040	numArcsGE050	numArcsGE055	numArcsGE060	numArcsGE065	numArcsGE070	numArcsGE075	numArcsGE080	numArcsGE085	numArcsGE090	numArcsGE095	numArcsGE100	numArcsGE120	numArcsGE140	numArcsGE160	numArcsGE180	numArcsGE200	numArcsGE220	numArcsGE240	numArcsGE260	numArcsGE280	numArcsGE300	numArcsGE350	numArcsGE400	numArcsGE450	numArcsGE500	numArcsGE550	numArcsGE600	numDcoArcsGE000	numDcoArcsGE010	numDcoArcsGE020	numDcoArcsGE040	numDcoArcsGE050	numDcoArcsGE055	numDcoArcsGE060	numDcoArcsGE065	numDcoArcsGE070	numDcoArcsGE075	numDcoArcsGE080	numDcoArcsGE085	numDcoArcsGE090	numDcoArcsGE095	numDcoArcsGE100	numDcoArcsGE120	numDcoArcsGE140	numDcoArcsGE160	numDcoArcsGE180	numDcoArcsGE200	numDcoArcsGE220	numDcoArcsGE240	numDcoArcsGE260	numDcoArcsGE280	numDcoArcsGE300	numDcoArcsGE350	numDcoArcsGE400	numDcoArcsGE450	numDcoArcsGE500	numDcoArcsGE550	numDcoArcsGE600	_
1237648702966988820	OK	lgspFitting_highErrPerLenForLongArc_1440.90|	unavailable	unavailable	Swise	Zwise	Swise	Zwise	true	0.7154931069	34.7743978	0.6505410472	0.9620360003	2.20773092	8	0.5661047919	128.2011303	226.4618356	0.7608301203	151.603629	151.3511644	[303_303]	0.760327323	0.005018662198	[326.905804_163.8827106163.8827106_310.7877203]	0.8953797728	0.0005811217175	0.4470588235	-3680491.129	1.011276473	128.2218659	128.9337636	false	false	false	false	0.2866173296	90.44	77.094042	false	false	210.9304888	132.8489745	65.22243817	2	4	9	87.50629491	22.88591741	39.059973	65.22243817	118.3191013	259.1404468	1487.607013	17	[9_8]	[659.3399916_828.2670219]	4944.921503	'agree'	-4.763706089	4.843035957	17.78180735	-13.7474446	3.324077836	19.1604247	14.48621776	12.97385306	-10.02386743	11.20412202	-6.013775708	-11.02611855	-4.158224049	10.34779536	-4.763706089	32.21710365	-16.4431559	-4.763706089	-4.158224049	-10.79658003	-4.158224049	-21.53891302	[4.763706089_4.158224049_16.4431559_4.609217017_44.21616476_3.453595941_21.53891302_10.79658003]	[259.1404468_210.9304888_93.78683612_72.50650105_65.22243817_48.60780275_39.08369191_38.98881627]	2	2	2	3	0.4099	5.6239	126.0924	108.2383	172.5000	121.0000	17	17	17	12	10	10	9	9	8	6	6	6	6	5	5	4	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	8	8	8	6	5	5	5	5	4	3	3	3	3	2	2	2	2	2	2	2	1	1	0	0	0	0	0	0	0	0	0	_
1237648702967054406	OK	lgspFitting_highErrPerLenForLongArc_1516.84|	unavailable	unavailable	Zwise	Swise	Swise	Swise	false	0.7910126711	19.25636941	1.397974026	0.946696962	2.453442559	9	0.7085220711	77.71081496	109.6801612	1.419289972	95.20151917	95.57713225	[189_189]	0.6113032059	0.006468816993	[52.890196_7.6551645357.655164535_101.8612582]	0.8849391566	0.002172502731	0.3882352941	-1762954.668	1.031018272	128.0401438	128.2116083	false	false	false	false	0.204766537	121.49	99.615124	false	false	107.3983338	89.80338288	65.77546615	2	6	12	75.42978898	23.52523436	33.38640873	61.2870754	88.32572419	417.2623945	1810.314935	24	[9_15]	[909.0288738_901.2860616]	3.134140308	'disagree'	0.5125050835	-1.1163286	19.32828632	24.28261029	0.001731267995	21.74971048	15.43081311	15.32774985	15.36681968	17.47628533	8.924403683	23.97760937	0.5125050835	-13.68994509	7.991626328	-20.00432901	35.31254445	7.991626328	0.5125050835	35.01738931	0.5125050835	36.36401341	[0.5125050835_35.31254445_50.76335888_10.79566459_15.19638948_26.5900011_7.991626328_36.36401341_35.01738931]	[417.2623945_99.45024295_89.80338288_78.36688535_76.65268285_51.10430807_40.81768988_31.61969627_23.95159108]	1	1	1	1	1.0143	5.3911	126.8193	32.5195	135.5000	94.0000	24	24	24	17	15	13	12	12	10	9	7	7	5	5	3	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	9	9	9	7	6	5	5	5	5	5	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	_
1237648702967251093	OK	lgspFitting_highErrPerLenForLongArc_5993.11|	unavailable	unavailable	Zwise	Zwise	Zwise	EQ	false	0.925053496	13.15411561	0.8971831191	0.9320465686	2.582554328	9	0.6986511062	53.25731632	76.22877263	-0.6680992212	65.67275595	64.79993809	[129_129]	0.7018727333	0.0108817478	[37.92561528_11.7489935511.74899355_32.30962977]	0.864278025	0.004778843519	0.5176470588	-834199.1516	1.043673946	126.8881272	129.2452474	false	false	false	false	0.2580340265	133.31	114.814588	false	false	453.3196223	82.91991431	35.40993274	1	4	11	56.25974984	12.67561168	22.30810197	28.51809725	72.23482803	453.3196223	1462.753496	26	[11_14]	[335.4473644_673.986509]	-10507.96971	'disagree'	0	-4.152035774	20.21575569	-22.62723493	-7.183691402	22.14589176	15.86376442	17.04074301	-25.00995652	17.53539394	-29.91822805	-23.96402277	0	-16.08019304	0	-45.46083057	15.52699666	-17.63681805	-8.223180865	-45.46083057	-6.235521203	-50.16026084	[8.223180865_25.08379126_50.16026084_45.46083057_16.08019304_52.26056455_6.235521203_4.705122405_41.7665819_26.1103313_12.8712278_17.63681805_0.8000146038_9.386850613]	[102.0315805_82.91991431_75.92874832_72.32658902_72.23482803_46.03365312_43.82368837_35.40993274_29.29457202_27.26341473_25.04459629_22.30810197_21.79106233_17.57582726]	1	5	1	3	1.0599	6.7438	257.7207	35.7969	26.0000	123.0000	26	26	22	9	7	7	7	7	7	5	4	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	14	14	13	7	5	5	5	5	5	3	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_
1237648702968103043	OK	lgspFitting_highErrPerLenForLongArc_1212.17|	unavailable	unavailable	Swise	Zwise	Swise	Zwise	false	0.9311697397	15.44749208	-1.279432023	0.9393939394	2.391109537	9	0.8145070548	54.11764447	66.44220471	-0.1929697042	55.17531401	55.9651212	[110_110]	0.5672378005	0.01031341455	[35.11663187_2.2524862552.252486255_24.0292729]	0.8955888657	0.005418084834	0.4278431373	-493179.6185	1.023465967	128.502674	129.4619159	false	false	false	false	0.2586805556	128.65	108.946072	false	false	183.0128175	125.9176107	52.41669088	3	6	12	79.38896333	21.10703582	36.31009343	49.61589693	120.7017871	254.3562086	1984.724083	25	[15_10]	[901.9692232_1082.75486]	2051.307596	'agree'	-1.945719547	6.14608555	27.12303385	-26.22118538	1.033547995	27.44372795	22.52841122	15.70659458	-19.70038384	16.16078831	-14.87760884	-22.25767523	-1.945719547	27.68127475	-14.98872227	40.11708472	-30.09938043	-14.98872227	-7.515971874	-28.57948072	-1.945719547	-46.19276616	[1.945719547_14.98872227_28.57948072_30.09938043_7.515971874_46.19276616_64.50772283_11.36040653_36.72023745_20.30144598]	[254.3562086_201.7241824_183.0128175_125.9176107_118.9631792_59.15884264_49.61589693_38.97815232_29.57264895_21.4553207]	1	5	1	1	1.1020	6.5321	15.4437	21.8320	116.5000	93.0000	25	25	25	16	12	10	9	9	9	9	9	8	8	8	7	6	5	3	3	2	1	1	0	0	0	0	0	0	0	0	0	10	10	10	7	6	6	5	5	5	5	5	5	5	5	5	4	3	3	3	2	1	1	0	0	0	0	0	0	0	0	0	_
1237648702968103061	OK	lgspFitting_highErrPerLenForLongArc_1376.60|	unavailable	unavailable	Zwise	Zwise	Swise	Zwise	false	0.7507860522	19.31059529	1.461496309	0.9446899122	2.499176471	9	0.6828986661	75.0944258	109.9642297	1.450605772	93.87717392	92.89516567	[185_185]	0.8834162804	0.009550446275	[48.97780265_6.5635098146.563509814_102.5310971]	0.8818362406	0.002247105089	0.4588235294	-1693918.174	1.04196007	129.3725854	128.0512311	false	false	false	false	0.2033818694	125.89	106.17994	false	false	211.1735551	80.55110188	54.37972382	2	6	13	71.95289847	16.96642464	35.46124091	53.74107931	67.33975151	392.1065903	1942.728259	27	[13_14]	[898.392964_1044.335295]	3933.784989	'disagree'	-1.261571959	0.6898353508	20.23270024	-18.84490542	2.024876599	22.51215583	15.93553196	16.02985048	-12.93867181	13.35653554	-9.073073708	-19.26395516	-1.261571959	11.98948637	-16.3077161	34.40066099	-33.48429584	-6.004972907	-1.261571959	-18.85568762	-1.261571959	-34.58755375	[1.261571959_16.3077161_16.67979347_33.48429584_34.58755375_2.071947448_40.68066913_6.004972907_19.33932983_18.85568762_1.614208992_36.06291142_4.923445951_31.95457152]	[392.1065903_114.4748617_80.55110188_60.15679722_59.55084743_54.37972382_42.73843677_41.33537823_39.42125045_37.72062468_36.40449371_33.04470435_28.35312042_24.09736369]	1	1	3	3	1.6263	6.3704	65.6136	41.6250	72.5000	99.0000	27	27	26	16	14	12	11	7	6	6	6	5	5	5	4	3	2	2	2	2	1	1	1	1	1	1	0	0	0	0	0	14	14	14	8	6	5	4	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	_
1237648702968955007	OK	lgspFitting_highErrPerLenForLongArc_1080.67|	unavailable	unavailable	Zwise	Zwise	Swise	Zwise	false	0.8641237926	15.95998598	0.6836624684	0.9399887955	2.732871653	8	0.7789933705	68.48544004	87.91530536	-0.09811249019	71.27560138	70.16254964	[141_141]	0.8816344049	0.01250545255	[64.30452016_2.4739807092.473980709_39.41323489]	0.888475117	0.003144211836	0.3960784314	-790116.6328	1.034339315	127.8954241	129.5341444	false	false	false	false	0.1538461538	116.21	94.643627	false	false	131.311062	90.05579139	45.74525857	2	5	11	68.6321752	19.00240455	28.46719412	41.21315431	83.87277462	402.8329095	1647.172205	24	[10_14]	[644.244171_1002.928034]	4153.999362	'disagree'	-0.01382022154	-2.647069068	22.27617493	-21.36278057	2.521897437	21.2464966	15.56237032	14.68285444	-10.7085971	13.88358989	-3.479999157	-18.79384137	-0.01382022154	17.68584265	-13.62352338	33.71737235	-18.76037063	-4.545004858	-0.01382022154	-15.58150286	-0.01382022154	-30.23968058	[0.01382022154_15.58150286_0.8305714883_18.76037063_13.62352338_4.545004858_40.33809137_14.0177025_48.51332508_24.27957053_15.15296154_30.23968058_52.35389603_20.82890696]	[402.8329095_90.05579139_88.9136659_78.83188334_65.62283805_63.94024301_37.95570158_32.05174703_30.19584843_26.7385398_24.98183293_20.96587982_20.83874852_19.00240455]	1	1	2	1	0.8250	5.9751	266.3786	44.5000	2.0000	130.0000	24	24	23	12	10	10	10	9	8	8	6	6	5	4	4	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	14	14	13	6	6	6	6	5	4	4	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	_
1237648702971511000	OK	lgspFitting_highErrPerLenForLongArc_1055.45|	unavailable	unavailable	EQ	Swise	Zwise	Swise	false	0.8314053288	14.03690429	-1.22848352	0.9392156863	2.76143715	8	0.5704716219	47.49349177	83.25303125	-1.263700486	57.16007396	57.32288557	[113_113]	0.3603869658	0.006378530369	[21.75132_10.9225639510.92256395_52.72956161]	0.8802863923	0.004952903159	0.6156862745	-560125.5462	1.035050853	129.0589872	129.7903083	false	false	false	false	0.1943152455	106.55	89.73262	false	false	247.6130727	127.3220647	47.39150969	2	4	9	75.77934467	12.27805765	32.12145447	40.60001704	61.73393136	357.8662596	1667.145583	22	[11_11]	[1145.889596_521.2559868]	-1243.782346	'agree'	9.378376501	-4.438173224	18.80580064	14.36762741	-0.7460550293	20.59045582	15.76829674	13.26213735	10.92786949	8.767681767	9.333689523	13.1392335	7.54173873	-9.408981724	9.378376501	-31.53021164	12.27171347	9.378376501	7.54173873	12.27171347	1.041039024	21.70530095	[9.378376501_7.54173873_12.27171347_1.041039024_46.04024957_21.70530095_9.767544804_24.44891499_3.72158008_13.16305387_8.964389546]	[357.8662596_247.6130727_187.4345361_121.3387971_48.40571038_40.20648963_36.2177363_32.42010316_32.12145447_29.98737878_12.27805765]	1	1	3	1	0.6949	7.2657	207.0953	39.5117	9.5000	144.0000	22	22	20	12	7	7	6	5	5	5	5	5	5	5	5	5	3	3	3	2	2	2	1	1	1	1	0	0	0	0	0	11	11	10	6	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	2	2	2	1	1	1	1	0	0	0	0	0	_
1237648702972297393	OK	lgspFitting_highErrPerLenForLongArc_1124.27|	unavailable	unavailable	Swise	Zwise	Zwise	Zwise	true	0.7201138316	30.32403673	0.09525268527	0.9598937285	2.55213277	8	0.6500590991	92.14249274	141.7447935	-0.1320718192	102.3071605	100.3112796	[202_202]	1.436859183	0.01422632854	[175.881701_13.3916384713.39163847_76.85431597]	0.9187405283	0.001365247358	0.3529411765	-1583664.106	1.011031206	128.6871857	128.4148538	false	false	false	false	0.09310344828	82.43	71.680753	false	false	179.9206931	54.43521569	31.50556235	2	6	12	49.20234918	13.16192797	23.61427983	30.85902217	51.33065159	228.7007047	1230.058729	25	[14_11]	[457.9919632_772.0667662]	-2365.822447	'agree'	-15.5466505	3.569271143	21.90957379	-20.84125301	-1.923341049	22.12936461	18.17754721	12.76654989	-16.01239307	12.0953436	-12.21060314	-19.12332358	-0.375237356	14.20208896	-15.5466505	23.83293971	-26.42843671	-15.5466505	-1.409695134	-23.64823236	-0.375237356	-34.10677178	[15.5466505_0.375237356_26.42843671_14.56851412_34.10677178_21.92651935_23.64823236_39.56150507_42.90905338_1.409695134_8.77316729]	[228.7007047_179.9206931_88.881899_60.0228643_49.94450104_31.50556235_30.85902217_26.14727144_25.74686905_25.62537368_24.71200546]	2	2	4	3	0.7812	5.6037	58.9328	56.4180	156.5000	126.0000	25	25	23	10	7	5	4	3	3	3	3	3	2	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	11	11	11	5	4	4	4	3	3	3	3	3	2	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	_
1237648702972821696	OK	lgspFitting_highErrPerLenForLongArc_831.59|	unavailable	unavailable	EQ	Zwise	Zwise	Zwise	true	0.533894417	19.96400699	1.388751124	0.961822376	2.617666689	8	0.5364646376	49.96422381	93.13609939	1.337277875	57.74738626	58.95425901	[116_116]	0.8790783137	0.01515652265	[23.18372159_11.4045945511.40459455_68.41816563]	0.9050575767	0.004116993671	0.4470588235	-548387.9925	1.018259648	127.7362755	127.8763616	false	false	false	false	0.2006326254	105.33	88.353165	false	false	288.5608651	111.5392484	46.63060909	2	4	10	69.1006596	15.16000065	22.98355662	40.4942875	68.66834307	321.0633471	1658.41583	24	[12_12]	[477.4848445_1180.930986]	-6289.028509	'agree'	-9.614561719	5.077139397	23.4673843	-18.3902449	-3.792190351	23.38873892	19.54960452	13.38756061	-16.3897817	9.12133896	-13.07965614	-13.46403305	-9.614561719	7.110155498	-21.80870818	34.94104025	-21.83399837	-20.03531772	-9.614561719	-21.80870818	-5.502087836	-21.83399837	[9.614561719_21.80870818_5.502087836_20.03531772_21.83399837_21.58407661_40.20864651_2.640584956_47.54316657_12.87410377_0.43629557_16.60139099]	[321.0633471_288.5608651_149.9643434_111.5392484_108.5558776_67.77191363_38.26921923_22.00519431_20.58517651_19.19713097_18.25866902_15.16000065]	2	2	3	3	0.4645	6.1936	165.1204	29.3164	178.5000	81.0000	24	24	21	13	9	7	7	7	5	5	5	5	5	5	5	3	3	2	2	2	2	2	2	2	1	0	0	0	0	0	0	12	12	9	6	6	6	6	6	5	5	5	5	5	5	5	3	3	2	2	2	2	2	2	2	1	0	0	0	0	0	0	_
1237648702972952683	OK	lgspFitting_highErrPerLenForLongArc_2962.39|	unavailable	unavailable	Swise	Swise	Swise	Swise	false	0.785826239	19.79608295	1.046679706	0.9432525952	2.27126401	9	0.6690581844	87.33109843	130.5284061	1.291419501	114.5352559	113.565313	[227_227]	0.6895300635	0.006075154745	[73.01157737_21.8317719121.83177191_142.849263]	0.8538053541	0.0015922784	0.5803921569	-2731379.784	1.026396624	127.7225062	128.4757361	false	false	false	false	0.2693461308	151.83	124.43999	false	false	224.5259689	145.3872222	80.39162858	2	5	10	91.81912387	17.15332901	35.14662801	51.98393901	137.4103658	304.5170244	2020.020725	22	[12_10]	[1225.58716_794.4335654]	3814.992418	'agree'	3.544011956	2.370336284	25.34570132	25.4063678	1.888590731	22.28350037	19.13096114	11.58134231	17.32228103	12.8647921	10.92434752	19.86914881	3.544011956	-22.17432317	14.40520955	-24.93894081	31.04876891	14.2071846	7.551511513	24.14960581	3.544011956	39.84689241	[3.544011956_14.2071846_24.14960581_7.551511513_31.04876891_11.64861935_39.84689241_19.29259899_42.63319485_46.0190667_14.40520955_50.52974895]	[304.5170244_224.5259689_201.8322132_137.4103658_107.1175504_50.98193404_50.45058568_38.53927432_35.14662801_33.62718735_21.15709209_20.28133553]	1	1	1	1	0.7835	6.5517	358.4929	43.1211	14.5000	83.0000	22	22	21	15	14	10	10	10	10	10	10	9	9	9	8	7	5	3	3	3	2	1	1	1	1	0	0	0	0	0	0	12	12	12	7	7	5	5	5	5	5	5	5	5	5	5	4	3	3	3	3	2	1	1	1	1	0	0	0	0	0	0	_
