name,objID,ra,dec,run,rerun,camcol,field,rowC,colC,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1237648702967251093_r,5.87723E+17,185.2106131,-1.1032998,752,40,1,278,946.661194,1512.9873,GALAXY,19.320518,17.520323,16.43371,16.004557,15.677164,18.894129,17.760628,16.676353,16.277302,16.079248
1237648702972821696_r,5.87723E+17,197.9088499,-1.05769709,752,40,1,363,725.589172,1920.23694,GALAXY,18.313288,16.846481,16.179979,15.806491,15.54603,18.204575,16.761677,16.171738,15.837984,15.630283
1237648702983241940_r,5.8773E+17,221.715631,-1.14686014,2379,40,6,84,417.86377,227.112518,GALAXY,18.710997,16.98337,16.52162,16.149422,16.066441,19.488321,17.57637,17.150606,16.871012,16.7698
1237648702986125622_r,5.8773E+17,228.2843154,-1.11179072,2334,40,5,217,127.599602,787.393188,GALAXY,19.176115,17.374521,16.440172,15.990781,15.670069,18.985193,17.337286,16.620655,16.200949,16.031687
1237648703510478979_r,5.87723E+17,199.6550324,-0.7074687,752,40,2,375,273.731049,1285.83362,GALAXY,18.197426,16.955708,16.296236,15.898094,15.627627,18.133478,16.878948,16.295336,15.935735,15.730595
1237648703511658641_r,5.87723E+17,202.3388964,-0.63261094,752,40,2,393,179.585342,1962.65259,GALAXY,18.550797,17.267653,16.872984,16.575262,16.524982,18.753704,17.178404,16.76202,16.625458,16.882885
1237648703513428079_r,5.87723E+17,206.3741643,-0.7816766,752,40,2,420,123.028503,604.51709,GALAXY,18.266768,17.152557,16.684317,16.327805,16.144905,18.208687,17.119438,16.697229,16.368093,16.227491
1237648703516115180_r,5.87723E+17,212.5420151,-0.75177289,752,40,2,461,402.796844,872.548035,GALAXY,18.427626,17.109299,16.497257,16.128893,15.879732,18.527849,17.097937,16.554289,16.19949,15.957977
1237648704040534123_r,5.87723E+17,184.1544426,-0.37780896,752,40,3,271,874.547424,478.378723,GALAXY,18.728235,17.405621,16.48764,16.059921,15.765527,18.599998,17.47991,16.672501,16.306084,15.999908
1237648704051478835_r,5.87723E+17,209.115393,-0.37312183,752,40,3,438,551.804443,502.616699,GALAXY,18.861927,17.424212,16.725849,16.330711,16.083244,18.828255,17.448944,16.772089,16.339741,16.231697
1237648704052068490_r,5.87723E+17,210.4187185,-0.3954838,752,40,3,447,153.105408,298.918091,GALAXY,18.022026,16.91184,16.495029,16.226749,16.131863,18.158276,16.893362,16.450176,16.223555,16.328312
1237648704052592784_r,5.87723E+17,211.6359692,-0.36101121,752,40,3,455,333.084076,611.704834,GALAXY,19.651558,17.922464,17.015709,16.595888,16.280464,19.210335,17.968704,17.186731,16.776468,16.660252
1237648704055017848_r,5.87723E+17,217.2907907,-0.351682,752,40,3,492,1391.61731,693.131714,GALAXY,17.655766,16.570173,16.200167,16.019178,15.869132,17.933424,16.446297,16.160114,16.18722,16.152361
1237648704057573731_r,5.87723E+17,223.0832184,-0.22581931,752,40,3,531,980.304016,1835.3302,GALAXY,18.477173,17.192127,16.698732,16.42333,16.28113,18.469465,17.264072,16.740036,16.472313,16.436384
