1: numArcsGE090 (99,-20369.321423323323,0.2188434965148634)
2: numArcsGE085 (98,-20389.375673216753,0.8997461666930016)
3: numArcsGE095 (100,-20398.11655886699,1.2601428322231891)
4: numArcsGE120 (102,-20420.784295192007,0.9039428817296735)
5: numDcoArcsGE085 (119,-20432.942065926225,1.3722285952948055)
6: numArcsGE100 (101,-20464.777148984882,0.43209873774195706)
7: numDcoArcsGE090 (120,-20471.50528250729,1.5529425255103404)
8: numDcoArcsGE080 (118,-20488.466846152227,1.1942186346241865)
9: numArcsGE080 (97,-20510.474585793785,0.7312613675538446)
10: numArcsGE140 (103,-20520.56763894447,-0.4028797452515014)
11: numDcoArcsGE095 (121,-20528.205427669825,1.7419453988469533)
12: numDcoArcsGE120 (123,-20549.394724791135,1.146308378512767)
13: numDcoArcsGE075 (117,-20630.511116879094,1.0230378583264679)
14: numDcoArcsGE100 (122,-20666.45435891581,1.9344947669775778)
15: numArcsGE075 (96,-20725.998340445014,0.5703682093102644)
16: numDcoArcsGE140 (124,-20762.10146369339,1.6646913192845374)
17: totalArcLength (78,-21096.22699232725,0.1942439497930205)
18: diskMinAxsLen (60,-21211.46107181131,0.35742920497263797)
19: numArcsGE160 (104,-21260.63639982009,2.026663482213927)
20: wtdLik (64,-21308.0397888386,-0.5377341263909323)
21: numDcoArcsGE060 (116,-21416.859816518037,0.526086028239424)
22: numDcoArcsGE160 (125,-21522.794802270393,-0.32329753151866214)
23: alenAt25pct (71,-21555.39264206979,0.5405004113848259)
24: bar_cand_score_orifld (88,-21738.29434596205,0.48102148306051484)
25: numArcsGE060 (95,-21764.00419570118,0.12837549335227416)
26: likOfCtr (65,-21782.912522344315,-0.8047609525237958)
27: petroR50_g (1,-22072.843747045725,0.014530657489015993)
28: numArcsGE180 (105,-22297.85176266619,2.681937812345939)
29: petroR90_g_to_petroR50_g_ratio (49,-22304.476234843984,-0.471052449934605)
30: petroR50_r (2,-22330.359484986755,0.27551931588731504)
31: numDcoArcsGE180 (126,-22509.04341168036,2.8694950695048824)
32: petroR50_i (3,-22584.28971824018,0.013047760824593415)
33: petroR50_i_1 (19,-22584.28971824018,0.013047760823356751)
34: petroR90_r_to_petroR50_r_ratio (51,-22609.055669374735,-0.5036873584522392)
35: numDcoArcsGE040 (115,-22771.304223378094,0.3596806216435393)
36: petroR50_z (4,-22887.766197276807,0.01704207281514617)
37: numArcsGE040 (94,-22892.420796501312,0.19694616346682714)
38: ratioR90_R50 (45,-22906.314941955556,-0.5514633887481931)
39: petroR90_i_to_petroR50_i_ratio (50,-22906.45661232575,-0.5514573762031049)
40: lnLdeV_i (16,-22963.877131030473,0.0014779156992042598)
41: diskMajAxsLen (61,-22977.40077765535,-0.058614396885433066)
42: MRrCc_i (20,-23001.034327451816,-0.09140341857522755)
43: g_r (46,-23154.77510737102,0.26432225304753676)
44: avgArcLength (77,-23208.47113405211,0.2794371952818688)
45: rest_gr (32,-23239.43076260251,0.3930703871706166)
46: rest_ug (31,-23239.469552490544,0.2793502072417481)
47: rest_ri (33,-23239.469552490544,0.4310796990003832)
48: rest_iz (34,-23239.493497751373,0.43155720404634573)
49: numArcsGE200 (106,-23360.47979088429,-0.2370526536066459)
50: kcorr_z (39,-23386.08470013039,0.0009667186263299084)
51: alenAt50pct (72,-23425.45112617693,0.302072941338726)
52: numDcoArcsGE200 (127,-23505.85032890551,3.5710534540222634)
53: petroR90_z_to_petroR50_z_ratio (53,-23609.79871232062,-0.5361637750875953)
54: numArcsGE020 (93,-23901.447725319904,-0.12317880383403099)
55: numDcoArcsGE020 (114,-23973.480932504146,-0.057135822533140396)
56: numArcsGE010 (92,-24014.85432414195,-0.10460565523808658)
57: totalNumArcs (79,-24018.133328740118,-0.10613924761285265)
58: numArcsGE000 (91,-24018.133328740118,-0.10613924761285265)
59: numDcoArcsGE010 (113,-24057.848866550426,-0.20671271943951453)
60: numDcoArcsGE000 (112,-24058.389479308546,0.0897661058489259)
61: sorted_agreeing_pangs_pt5 (137,-24058.389479308546,-0.653198090400396)
62: kcorr_i (38,-24107.921664357746,-0.002090901072703928)
63: r_i (47,-24275.677357953413,0.02518639298298227)
64: sorted_agreeing_pangs_pt4 (136,-24295.192606540702,-0.7852376082896173)
65: numArcsGE220 (107,-24321.84749992659,-0.2020082396741884)
66: numDcoArcsGE220 (128,-24423.2963382008,4.371973124028164)
67: kcorr_u (35,-24567.60077156338,-0.3934203282982758)
68: numDcoArcs_arclength_function_flattening (86,-24764.308891055065,0.18088698806477527)
69: dered_g (10,-24812.4128077358,-0.5718446013367616)
70: numArcs_arclength_function_flattening (85,-24949.212041929968,-0.9677614311005107)
71: kcorr_g (36,-25053.40016885359,-0.47714493804451785)
72: numArcsGE240 (108,-25129.70682470395,5.13279292784867)
73: alenAt75pct (73,-25151.440603099218,-0.19065132572397325)
74: sorted_agreeing_pangs_pt3 (135,-25152.131507925948,-0.9489114414444113)
75: numDcoArcsGE240 (129,-25196.29536916022,5.285937862461078)
76: rankAt75pct (76,-25382.034562140543,-0.21949271943077525)
77: bulgeDiskBrtRatio (57,-25450.602046477274,0.30149690049796773)
78: petroR90_g (6,-25450.7696101622,0.016295972353092367)
79: petroR90_r (7,-25526.577082325082,0.03920223634374488)
80: disk_to_bulge_ratio (48,-25527.590925751792,-0.10775334608359163)
81: brtUnifScore (66,-25534.06120758067,0.09619642299073411)
82: petroR90_i (8,-25640.585101689685,0.01136644595953277)
83: petroR90_i_1 (18,-25640.585101689685,0.011366445959042022)
84: texture_i (22,-25649.6412176456,-0.038202438596058465)
85: mCr4_i (21,-25713.515894116455,1.2120060274396682)
86: MZ (44,-25735.652235481874,-0.612622504756516)
87: dered_r (11,-25766.654589063604,-0.5769099968311577)
88: numArcsGE260 (109,-25787.88577975845,6.167201182675859)
89: kcorr_r (37,-25794.46821828489,-0.032106826061819506)
90: numDcoArcsGE260 (130,-25820.043839303962,6.311851331986974)
91: petroR90_z (9,-25854.061179218486,0.01795860563792323)
92: bar_half_length_input_img (89,-25916.45034797322,-0.11767266667870754)
93: lnLstar_i (17,-25943.61650340897,0.0020629387025232196)
94: petroR90_u (5,-25959.29731452041,0.05469319851805791)
95: dered_i (12,-26006.345895180428,-0.7781762061458712)
96: hasDeletedCtrClus (68,-26038.584312518688,6.853049805578681)
97: rankAt50pct (75,-26070.54144775719,0.16660868332395226)
98: nnAvgZ (29,-26166.97571866638,-0.3504370068635681)
99: numArcsGE280 (110,-26250.517042562977,7.400746494729793)
100: numDcoArcsGE280 (131,-26269.24936899931,7.538336463942335)
101: paErr_alenWtd_stdev_domChiralityOnly (82,-26284.88723393972,-0.0037288663096445157)
102: numDcoArcs_largest_length_gap (84,-26385.99241303382,-0.3509204141983087)
103: sorted_agreeing_pangs_pt2 (134,-26407.84420214558,-1.1319255171047726)
104: bar_half_length_standardized_img (90,-26505.815458424375,-1.4594488294558097)
105: nnSpecz (28,-26520.296576012668,-0.2020326880768882)
106: rankAt25pct (74,-26572.655536391172,-0.6758207369350056)
107: numArcsGE300 (111,-26592.860570853285,8.933584244567367)
108: numDcoArcsGE300 (132,-26603.55314198503,9.076514506973126)
109: petroR90_u_to_petroR50_z_ratio (52,-26634.373813931346,0.04894659829015675)
110: numArcs_largest_length_gap (83,-26801.48282662603,-0.4735460040111454)
111: pa_avg__abs (80,-26865.483305056434,-0.9985405628192646)
112: deVAB_i (13,-26869.347316643016,-1.36895579425501)
113: bar_score_img (87,-26897.522748825857,0.7450867095354151)
114: numElpsRefits (58,-26904.736617764636,-0.9717225815206771)
115: pa_alenWtd_avg__abs (81,-26908.098770419372,0.9692413834170646)
116: expAB_i (14,-26964.062287261215,-1.4649829106218424)
117: contourBrtRatio (67,-27017.812384072946,-0.22363347937886435)
118: nnVol (26,-27030.29109743444,-0.9074978135631976)
119: muDistProp (63,-27042.42289184276,-0.0014790823598392576)
120: bulgeAvgBrt (56,-27062.725908636767,-1.1888255307218856)
121: sorted_agreeing_pangs_pt1 (133,-27104.15689859825,1.1645223093214632)
122: bulgeMajAxsLen (55,-27123.2482235398,-0.003918607031895158)
123: MU (40,-27142.415688160912,-0.852539557591628)
124: nnCount (25,-27167.107607821315,1.0183328522783448)
125: lnLexp_i (15,-27186.92707317966,0.0018331076295561956)
126: diskAxisRatio (59,-27188.712529183784,0.42569158274280916)
127: muDist (62,-27228.151829648134,-0.0014786869971697718)
128: MI (43,-27243.388202952847,-0.6498425721744894)
129: bulgeAxisRatio (54,-27250.387493067923,-0.6126749987293253)
130: mE2_i (24,-27271.711384215378,0.6422318562315164)
131: mE1_i (23,-27277.412928514124,0.5401568345141186)
132: MR (42,-27296.23814993962,-0.8689936403605637)
133: chiSq (30,-27339.032837970095,-0.0978363774156118)
134: MG (41,-27378.156290095398,-0.8721532734299527)
135: nnIsInside (27,-27389.8926012319,0.007238992009803966)
