Original,Arff-File,In Orignial but not in Arff-File,COMMENT,In Arff-File but not in Orignial  ,COMMENT
name,name,fit_state,garbage,disk-to-bulge_ratio,diskMajAxsLen/bulgeMajAxsLen
fit_state,chirality_maj,warnings,"""",g-r,MG-MR; could also use rest_gr
warnings,chirality_alenWtd,star_mask_used,"""",petroR90_g-to-petroR50_g-ratio,just like it sounds! :-)
star_mask_used,chirality_wtdPangSum,noise_mask_used,"""",petroR90_i-to-petroR50_i-ratio,just like it sounds! :-)
noise_mask_used,chirality_longestArc,badBulgeFitFlag,"""",petroR90_r-to-petroR50_r-ratio,just like it sounds! :-)
chirality_maj,bulgeAxisRatio,iptCtr,"""",petroR90_u-to-petroR50_z-ratio,just like it sounds! :-)
chirality_alenWtd,bulgeMajAxsLen,iptSz,"""",petroR90_z-to-petroR50_z-ratio,just like it sounds! :-)
chirality_wtdPangSum,bulgeMajAxsAngle,hasDeletedCtrClus,"""",r-i,see g-r
chirality_longestArc,bulgeAvgBrt,cpu_time,"""",p_cs,P_CS
badBulgeFitFlag,bulgeDiskBrtRatio,wall_time,"""",p_cw_p_acw,
bulgeAxisRatio,numElpsRefits,chirality_votes_maj,less-than-optimal measure of chirality,p_el,
bulgeMajAxsLen,diskAxisRatio,chirality_votes_alenWtd,vote counts; could potentially be useful,p_dk,
bulgeMajAxsAngle,diskMinAxsLen,top2_chirality_agreement,this should definitely be used!,p_mg,
bulgeAvgBrt,diskMajAxsLen,sorted_agreeing_pangs,probably not relevant,p_edge,
bulgeDiskBrtRatio,diskMajAxsAngle,_,garbage,p_cw,
numElpsRefits,muDist,name2,"""",p_acw,
diskAxisRatio,muDistProp,OBJID,"""",,
diskMinAxsLen,wtdLik,petroR50_g,Petrosian radius enclosing 50% of the light in the G band.,,
diskMajAxsLen,likOfCtr,petroR50_r,""" in the r band",,
diskMajAxsAngle,brtUnifScore,petroR50_i,I band… etc,,
iptCtr,gaussLogLik,petroR50_z,,,
iptSz,contourBrtRatio,petroR90_u,P radius enclosing 90% of the light in the U band,,
muDist,fitCtrR,petroR90_g,,,
muDistProp,fitCtrC,petroR90_r,,,
wtdLik,bar_candidate_available,petroR90_i,,,
