SDSS_dr8objid	GZ_dr8objid
1237648673458684355	1237648673458684355
1237648674531705354	1237648674531705354
1237648702967054406	1237648702967054406
1237648702971248812	1237648702971248812
1237648702972952683	1237648702972952683
1237648702977343535	1237648702977343535
1237655499748999419	1237648702986125622
1237648703505629321	1237648703505629321
1237655499751686550	1237648703525748984
1237648704040534123	1237648704040534123
1237648704042434653	1237648704042434653
1237648704049119426	1237648704049119426
1237648704051478835	1237648704051478835
1237648704054296626	1237648704054296626
1237648704057966973	1237648704057966973
1237648704063406732	1237648704063406732
1237648704063734223	1237648704063734223
1237648704580747354	1237648704580747354
1237648704585334815	1237648704585334815
1237648704589070696	1237648704589070696
1237648704590774409	1237648704590774409
1237648704594903402	1237648704594903402
1237648704595624148	1237648704595624148
1237648704597131557	1237648704597131557
1237648704602636571	1237648704602636571
1237648705115979950	1237648705115979950
1237648705118339244	1237648705118339244
1237648705121222876	1237648705121222876
1237648705122337142	1237648705122337142
1237648705123844289	1237648705123844289
1237648705126858770	1237648705126858770
1237648705130004781	1237648705130004781
1237648705135116577	1237648705135116577
1237648705137213843	1237648705137213843
1237648705657634986	1237648705657634986
1237648705657765929	1237648705657765929
1237651735239852276	1237648705669103794
1237648720146006287	1237648720146006287
1237648720146530485	1237648720146530485
1237648720151445778	1237648720151445778
1237648720158392444	1237648720158392444
1237648720159309954	1237648720159309954
1237648720166256756	1237648720166256756
1237648720171696336	1237648720171696336
1237648720672129557	1237648720672129557
1237648720676585591	1237648720676585591
1237648720684449988	1237648720684449988
1237648720684712010	1237648720684712010
1237648720687792292	1237648720687792292
1237648720693887067	1237648720693887067
1237648720697884842	1237648720697884842
1237648720713679086	1237648720713679086
1237648720715251797	1237648720715251797
1237648721209262496	1237648721209262496
1237648721217781939	1237648721217781939
1237648721218830481	1237648721218830481
1237648721218830502	1237648721218830502
1237648721222893601	1237648721222893601
1237648721225187568	1237648721225187568
1237648721226170501	1237648721226170501
1237648721226629291	1237648721226629291
1237648721227677751	1237648721227677751
1237648721230495965	1237648721230495965
1237648721249435828	1237648721249435828
1237648721744757047	1237648721744757047
1237648721746460829	1237648721746460829
1237648721746657464	1237648721746657464
1237648721747247472	1237648721747247472
1237648721748951332	1237648721748951332
1237648721749803336	1237648721749803336
1237648721757405352	1237648721757405352
1237648721758519438	1237648721758519438
1237648721763827882	1237648721763827882
1237648721768743049	1237648721768743049
1237648721769070765	1237648721769070765
1237648721780408635	1237648721780408635
1237648721790501128	1237648721790501128
1237648722284707954	1237648722284707954
1237648722286542926	1237648722286542926
1237648722288246924	1237648722288246924
1237648722293031151	1237648722293031151
1237648722295783556	1237648722295783556
1237648722296832040	1237648722296832040
1237648722300043510	1237648722300043510
1237648722300305504	1237648722300305504
1237648722304958665	1237648722304958665
1237648722307645629	1237648722307645629
1237648722308759778	1237648722308759778
1237648722314789028	1237648722314789028
1237648722316886159	1237648722316886159
1237648722318000335	1237648722318000335
1237648722321015098	1237648722321015098
1237648722322719055	1237648722322719055
1237654028709658775	1237648722829377663
1237654028710379630	1237648722830098522
1237651752393048124	1237648722834686003
1237651752395931730	1237648722837569753
1237648722840846413	1237648722840846413
1237648722841174194	1237648722841174194
1237649918431920246	1237649918431920246
1237649918434541599	1237649918434541599
1237649918971216048	1237649918971216048
1237649918971609191	1237649918971609191
1237649919500943550	1237649919500943550
1237649919501074491	1237649919501074491
1237649919501795401	1237649919501795401
1237649920042729790	1237649920042729790
1237649961384739017	1237649961384739017
1237649961385394353	1237649961385394353
1237649961386508404	1237649961386508404
1237649961922003116	1237649961922003116
1237649962454417519	1237649962454417519
1237649962992205998	1237649962992205998
1237649962993975369	1237649962993975369
1237649963527962853	1237649963527962853
1237649963530977378	1237649963530977378
1237650369398374795	1237650369398374795
1237650369406894091	1237650369406894091
1237650369944944836	1237650369944944836
1237650370471591992	1237650370471591992
1237650370473295904	1237650370473295904
1237650371008528592	1237650371008528592
1237650371018621112	1237650371018621112
1237650371019145335	1237650371019145335
1237650371024519173	1237650371024519173
1237654872683774054	1237650371544547466
1237650760239284476	1237650760239284476
1237650760244854900	1237650760244854900
1237650760245051580	1237650760245051580
1237650760246100072	1237650760246100072
1237650760248918168	1237650760248918168
1237650760775958647	1237650760775958647
1237650760779038917	1237650760779038917
1237650760786182310	1237650760786182310
1237650760788344848	1237650760788344848
1237650761320235167	1237650761320235167
1237650761322987759	1237650761322987759
1237650761850749106	1237650761850749106
1237650761854222382	1237650761854222382
1237650762390175915	1237650762390175915
1237650762392993934	1237650762392993934
1237650762933600474	1237650762933600474
1237650762935042187	1237650762935042187
1237650795143037000	1237650795143037000
1237650795673682116	1237650795673682116
1237650796209832842	1237650796209832842
1237650796211667428	1237650796211667428
1237650796213043579	1237650796213043579
1237650796219596962	1237650796219596962
1237650796748603480	1237650796748603480
1237650796754698455	1237650796754698455
1237650796755484842	1237650796755484842
1237653664177389790	1237650797287768118
1237650803197214770	1237650803197214770
1237650803726614627	1237650803726614627
1237650803731529872	1237650803731529872
1237650803735789867	1237650803735789867
1237650804271087754	1237650804271087754
1237650804800356571	1237650804800356571
1237650804803174533	1237650804803174533
1237650804803305644	1237650804803305644
1237650804806320237	1237650804806320237
1237650804806582416	1237650804806582416
1237650805337620646	1237650805337620646
1237650805343911965	1237650805343911965
1237650805882617869	1237650805882617869
1237651250418221168	1237651065735545033
1237651251493535858	1237651066810859652
1237654876970025129	1237651067352252634
1237651271361233032	1237651067887616202
1237651252576256181	1237651067893645431
1237653614793392254	1237651189747482781
1237651190818078964	1237651190818078964
1237651190821355549	1237651190821355549
1237651190822207640	1237651190822207640
1237651190826008702	1237651190826008702
1237651191354687536	1237651191354687536
1237651191354949755	1237651191354949755
1237651191356129507	1237651191356129507
1237651191361896651	1237651191361896651
1237651191888281850	1237651191888281850
1237651191898308748	1237651191898308748
1237651271879033071	1237651192423317611
1237651271880147158	1237651192424366347
1237651192432492651	1237651192432492651
1237651211749425201	1237651211749425201
1237651211749949752	1237651211749949752
1237651211750342739	1237651211750342739
1237651211750408351	1237651211750408351
1237651211752046881	1237651211752046881
1237651211752308921	1237651211752308921
1237651212287017484	1237651212287017484
1237651212287213931	1237651212287213931
1237651212822577426	1237651212822577426
1237651212823822591	1237651212823822591
1237651213897171320	1237651213897171320
1237651225707479189	1237651225707479189
1237651225709838692	1237651225709838692
1237651250411471009	1237651250411471009
1237651250411929839	1237651250411929839
1237651250412847198	1237651250412847198
1237651250440503389	1237651250440503389
1237655502428307538	1237651250451644452
1237651250941919523	1237651250941919523
1237651250951946376	1237651250951946376
1237651250953322621	1237651250953322621
1237651250956664954	1237651250956664954
null	1237651250957779038
1237651250979340362	1237651250979340362
1237655129842516342	1237651250982814145
1237651251482263771	1237651251482263771
1237651251515490750	1237651251515490750
1237651251517325687	1237651251517325687
1237655503501984384	1237651251525321372
1237651252016578837	1237651252016578837
1237651252029161613	1237651252029161613
1237651252041285773	1237651252041285773
1237651495215956679	1237651252550435582
1237651495217332624	1237651252551811144
1237651495218315565	1237651252552794371
1237651252565901510	1237651252565901510
1237651252581433419	1237651252581433419
1237651271884537912	1237651271884537912
1237651271903543463	1237651271903543463
1237651272416362903	1237651272416362903
